Buchungsdatum;Belegdatum;Werk;Bewegungsart;Material;Materialkurztext;Menge;Mengeneinheit;Lieferant
03.01.2024;03.01.2024;BHM1;261;D000100;Diesel HVO B7;1450,50;L;Shell UK Oils
05.01.2024;05.01.2024;BHM1;261;D000100;Diesel HVO B7;980,25;L;Shell UK Oils
08.01.2024;08.01.2024;MCR1;261;G000200;Erdgas Industriequalitaet;3250,00;M3;Cadent Gas
12.01.2024;12.01.2024;LDN1;261;D000100;Diesel HVO B7;620,00;L;BP Plc
15.01.2024;15.01.2024;BHM1;261;D000100;Diesel HVO B7;1820,75;L;Shell UK Oils
18.01.2024;18.01.2024;MCR1;261;G000200;Erdgas Industriequalitaet;2890,50;M3;Cadent Gas
22.01.2024;22.01.2024;BHM1;262;D000100;Diesel HVO B7;-200,00;L;Shell UK Oils
25.01.2024;25.01.2024;LDN1;261;HO00150;Heating Oil 28-sec;850,00;L;Crown Oil
28.01.2024;28.01.2024;BHM1;261;D000100;Diesel HVO B7;1240,00;L;Shell UK Oils
01.02.2024;01.02.2024;BHM1;261;D000100;Diesel HVO B7;99999,00;L;Shell UK Oils
05.02.2024;05.02.2024;MCR1;261;G000200;Erdgas Industriequalitaet;3105,75;M3;Cadent Gas
08.02.2024;08.02.2024;BHM1;101;D000100;Diesel HVO B7;15000,00;L;Shell UK Oils
12.02.2024;12.02.2024;LDN1;261;D000100;Diesel HVO B7;480,50;L;BP Plc
15.02.2024;15.02.2024;BHM1;261;D000100;Diesel HVO B7;1520,00;L;Shell UK Oils
18.02.2024;18.02.2024;UNK9;261;D000100;Diesel HVO B7;300,00;L;BP Plc
22.02.2024;22.02.2024;MCR1;261;G000200;Erdgas Industriequalitaet;2750,00;M3;Cadent Gas
25.02.2024;25.02.2024;BHM1;261;XYZ9999;Mystery Material;500,00;L;Unknown
28.02.2024;28.02.2024;LDN1;261;HO00150;Heating Oil 28-sec;640,00;L;Crown Oil
