account_number,site_name,meter_id,billing_period_start,billing_period_end,days_in_period,usage_kwh,on_peak_kwh,off_peak_kwh,demand_kw,tariff
AC-10042,Birmingham Factory,MTR-BHM-001,2024-01-03,2024-02-01,29,52340,34210,18130,185.5,GS-TOU-3
AC-10042,Birmingham Factory,MTR-BHM-002,2024-01-03,2024-02-01,29,18750,12200,6550,68.2,GS-TOU-3
AC-10042,Birmingham Factory,MTR-BHM-001,2024-02-01,2024-03-03,31,49880,32100,17780,178.9,GS-TOU-3
AC-10042,Birmingham Factory,MTR-BHM-002,2024-02-01,2024-03-03,31,17200,11050,6150,62.4,GS-TOU-3
AC-10042,Birmingham Factory,MTR-BHM-001,2024-03-03,2024-04-04,32,46220,29840,16380,165.1,GS-TOU-3
AC-10089,Manchester Warehouse,MTR-MCR-001,2024-01-05,2024-02-04,30,28150,18900,9250,98.4,GS-FLAT-2
AC-10089,Manchester Warehouse,MTR-MCR-001,2024-02-04,2024-03-06,31,26780,17750,9030,94.1,GS-FLAT-2
AC-10089,Manchester Warehouse,MTR-MCR-001,2024-03-06,2024-04-05,30,25420,16880,8540,89.7,GS-FLAT-2
AC-10211,London HQ,MTR-LDN-001,2024-01-10,2024-02-09,30,12450,8200,4250,42.5,LV-GENERAL
AC-10211,London HQ,MTR-LDN-001,2024-02-09,2024-03-10,30,11890,7850,4040,41.2,LV-GENERAL
AC-10211,London HQ,MTR-LDN-001,2024-03-10,2024-04-09,30,0,0,0,0,LV-GENERAL
AC-10211,London HQ,MTR-LDN-001,2024-04-09,2024-05-09,30,9820,6520,3300,33.8,LV-GENERAL
AC-10042,Birmingham Factory,MTR-BHM-003,2024-01-03,2024-02-01,29,8540,5610,2930,29.4,GS-TOU-3
AC-10042,Birmingham Factory,MTR-BHM-003,2024-02-01,2024-03-03,31,8120,5340,2780,28.1,GS-TOU-3
    
